MnSbO3,0.5649610136211486,140.0,1.55,145.0,2.05
IrCdO3,1.8054584355881353,135.0,2.2,155.0,1.69
VInO3,0.6858986834462023,135.0,1.63,155.0,1.78
PbCuO3,1.1015741294720975,180.0,1.8,135.0,1.9
TaHfO3,0.6867398911228492,145.0,1.5,155.0,1.3
GeTaO3,0.18233031313463358,125.0,2.01,145.0,1.5
NbBO3,1.0788207949034685,145.0,1.6,85.0,2.04
BeAlO3,1.562075360485513,105.0,1.57,125.0,1.61
OsCoO3,1.64768595983015,130.0,2.2,135.0,1.88
TiTeO3,1.7027417956010922,140.0,1.54,140.0,2.1
TlNiO3,1.1471464551920072,190.0,1.8,135.0,1.91
AlPdO3,1.6120886830464507,125.0,1.61,140.0,2.2
WOsO3,2.0218388946592625,135.0,1.7,130.0,2.2
RuMoO3,1.00251208585928,130.0,2.2,145.0,2.16
InPtO3,1.1567740231075085,155.0,1.78,135.0,2.2
AuYO3,1.5761496939886697,135.0,2.4,180.0,1.22
AgLiO3,1.9659880244122825,160.0,1.93,145.0,0.98
CrAsO3,0.9114513816656995,140.0,1.66,115.0,2.18
IrReO3,1.5523348544280893,135.0,2.2,135.0,1.9
MnInO3,0.9996749229429163,140.0,1.55,155.0,1.78
TiVO3,0.7671707597286016,140.0,1.54,135.0,1.63
TiSnO3,1.2424041748169763,140.0,1.54,145.0,1.96
AsKO3,2.8183584900389507,115.0,2.18,220.0,0.82
PtPtO3,1.8441632285718215,135.0,2.2,135.0,2.2
GeSnO3,0.46599512641328644,125.0,2.01,145.0,1.96
AlAsO3,1.283791958699129,125.0,1.61,115.0,2.18
MgScO3,0.8932872305732232,150.0,1.31,160.0,1.36
HfKO3,1.6751313947685176,155.0,1.3,220.0,0.82
GeRhO3,1.043635245134387,125.0,2.01,135.0,2.28
ZnTaO3,0.06545732618659769,135.0,1.65,145.0,1.5
TlNbO3,-0.0009319958819489216,190.0,1.8,145.0,1.6
RuFeO3,1.264864785107028,130.0,2.2,140.0,1.83
ScHfO3,0.36199361280103093,160.0,1.36,155.0,1.3
SiGeO3,1.156951412376334,110.0,1.9,125.0,2.01
AuGaO3,1.3615916084395359,135.0,2.4,130.0,1.81
SrKO3,1.67011029370626,200.0,0.95,220.0,0.82
LaTaO3,0.3270082060648122,195.0,1.1,145.0,1.5
CuRuO3,1.3454034399387844,135.0,1.9,130.0,2.2
BeInO3,2.1277183380385303,105.0,1.57,155.0,1.78
SrRhO3,0.6720736918568392,200.0,0.95,135.0,2.28
HgCdO3,1.7323065565723605,150.0,1.9,155.0,1.69
VAlO3,0.535333213486328,135.0,1.63,125.0,1.61
VBiO3,1.3568130643026621,135.0,1.63,160.0,1.9
SbLiO3,1.0937100047218906,145.0,2.05,145.0,0.98
LaCdO3,0.7802402121421949,195.0,1.1,155.0,1.69
BBaO3,3.2227120656652617,85.0,2.04,215.0,0.89
IrSbO3,1.7396414078782754,135.0,2.2,145.0,2.05
FeCaO3,2.5748867456815843,140.0,1.83,180.0,1.0
MgTaO3,0.38632132481967574,150.0,1.31,145.0,1.5
HgAlO3,0.9671173093502425,150.0,1.9,125.0,1.61
AlYO3,1.237857119385294,125.0,1.61,180.0,1.22
NiGeO3,0.7494413671039837,135.0,1.91,125.0,2.01
PbZnO3,1.0093300762337372,180.0,1.8,135.0,1.65
CrAuO3,1.4346577043724864,140.0,1.66,135.0,2.4
WSnO3,1.178701197425807,135.0,1.7,145.0,1.96
CaRuO3,0.6665282661453119,180.0,1.0,130.0,2.2
SnScO3,0.5122312454244259,145.0,1.96,160.0,1.36
PbHgO3,1.3811459899073426,180.0,1.8,150.0,1.9
GaSrO3,1.3703424125012043,130.0,1.81,200.0,0.95
WInO3,1.1005678272910309,135.0,1.7,155.0,1.78
NiCoO3,1.3981811561201625,135.0,1.91,135.0,1.88
AuHfO3,0.9917603140457814,135.0,2.4,155.0,1.3
PdGeO3,1.0406885886272008,140.0,2.2,125.0,2.01
NaCaO3,1.4971031849082146,180.0,0.93,180.0,1.0
PdHfO3,0.934049664548158,140.0,2.2,155.0,1.3
ScMoO3,0.876498101906121,160.0,1.36,145.0,2.16
BaScO3,0.22429110961404747,215.0,0.89,160.0,1.36
FeTaO3,0.3200349833900006,140.0,1.83,145.0,1.5
CuPbO3,1.2593826449102814,135.0,1.9,180.0,1.8
CoIrO3,1.3955000771913368,135.0,1.88,135.0,2.2
RuZnO3,1.4729415335458917,130.0,2.2,135.0,1.65
CsSnO3,0.5233453091890162,260.0,0.79,145.0,1.96
OsBaO3,2.0089075374811833,130.0,2.2,215.0,0.89
SnPtO3,1.1074331751338904,145.0,1.96,135.0,2.2
TiNbO3,0.8168575484663606,140.0,1.54,145.0,1.6
CsAuO3,1.5653070331536347,260.0,0.79,135.0,2.4
PbSrO3,1.3443630232347636,180.0,1.8,200.0,0.95
CoTaO3,0.41112374422242653,135.0,1.88,145.0,1.5
TlWO3,0.12240413497200961,190.0,1.8,135.0,1.7
ZnAlO3,0.8150073299656384,135.0,1.65,125.0,1.61
LiTiO3,0.4085590574647256,145.0,0.98,140.0,1.54
PbAlO3,0.5153444952669666,180.0,1.8,125.0,1.61
LiCsO3,2.106156055325994,145.0,0.98,260.0,0.79
AuNbO3,0.5311906212674729,135.0,2.4,145.0,1.6
ZrCsO3,3.112484358901772,155.0,1.33,260.0,0.79
LaPdO3,0.7278515422963061,195.0,1.1,140.0,2.2
CaCuO3,0.9502156783459235,180.0,1.0,135.0,1.9
SiTaO3,0.8322482486976938,110.0,1.9,145.0,1.5
ReSnO3,1.277088847624126,135.0,1.9,145.0,1.96
ReZnO3,1.3883213170375264,135.0,1.9,135.0,1.65
RbSiO3,0.7790587633654666,235.0,0.82,110.0,1.9
CdZrO3,0.35316654618560933,155.0,1.69,155.0,1.33
MoBeO3,0.8569202042300617,145.0,2.16,105.0,1.57
RuGaO3,1.2855300606496414,130.0,2.2,130.0,1.81
PbBiO3,0.6002445541330268,180.0,1.8,160.0,1.9
HfTiO3,0.8490266035260674,155.0,1.3,140.0,1.54
MgCdO3,1.5265526010097132,150.0,1.31,155.0,1.69
OsTeO3,1.7706239161873192,130.0,2.2,140.0,2.1
AlNbO3,0.8380847823516036,125.0,1.61,145.0,1.6
BeWO3,1.2518991325476834,105.0,1.57,135.0,1.7
CaSbO3,0.37903403543421277,180.0,1.0,145.0,2.05
SrAuO3,1.119142480406964,200.0,0.95,135.0,2.4
RbAlO3,0.7839013134173569,235.0,0.82,125.0,1.61
BeFeO3,0.9952060154241067,105.0,1.57,140.0,1.83
SbCaO3,1.5212002183912687,145.0,2.05,180.0,1.0
LiCoO3,0.9620894117097365,145.0,0.98,135.0,1.88
WKO3,1.6668700881602256,135.0,1.7,220.0,0.82
AuNiO3,1.7275310264070605,135.0,2.4,135.0,1.91
CdBeO3,1.2666622595393313,155.0,1.69,105.0,1.57
WTeO3,1.5248206625270952,135.0,1.7,140.0,2.1
MoCrO3,0.7516310250672149,145.0,2.16,140.0,1.66
KKO3,1.9373675146634253,220.0,0.82,220.0,0.82
FeBO3,1.1822493162967505,140.0,1.83,85.0,2.04
TlCuO3,1.3628799349762482,190.0,1.8,135.0,1.9
LaNbO3,0.22351868225565993,195.0,1.1,145.0,1.6
TiAgO3,2.2294674807190793,140.0,1.54,160.0,1.93
CuKO3,2.9471803076102447,135.0,1.9,220.0,0.82
BHgO3,3.357560819942389,85.0,2.04,150.0,1.9
MoGaO3,0.69775402688838,145.0,2.16,130.0,1.81
SnInO3,0.8109473887636114,145.0,1.96,155.0,1.78
WYO3,1.1510879710869033,135.0,1.7,180.0,1.22
GaZnO3,1.0455161279995138,130.0,1.81,135.0,1.65
NbSnO3,0.9093230476186953,145.0,1.6,145.0,1.96
AuPtO3,1.9096755864310844,135.0,2.4,135.0,2.2
YNiO3,0.63799928584923,180.0,1.22,135.0,1.91
WNaO3,1.4168301838039354,135.0,1.7,180.0,0.93
CuFeO3,1.1037533950975777,135.0,1.9,140.0,1.83
CuSiO3,0.897537933320659,135.0,1.9,110.0,1.9
MgMnO3,0.1501877853299547,150.0,1.31,140.0,1.55
InAlO3,0.4587509861156157,155.0,1.78,125.0,1.61
AgCsO3,2.3069912817241227,160.0,1.93,260.0,0.79
LaTiO3,0.021115407408018427,195.0,1.1,140.0,1.54
